check_id,category,severity,section,key_or_filename,target_url,conflicting_path,root_cause_script,recommended_action
CHK_FS_01,Parallel Country Directory Overlap,CRITICAL,filesystem,andorra,pages/andorra/,pages/ad/,scripts/generate_world_local.py,Consolidate pages/andorra/ into pages/ad/
CHK_FS_01,Parallel Country Directory Overlap,CRITICAL,filesystem,united-arab-emirates,pages/united-arab-emirates/,pages/ae/,scripts/generate_world_local.py,Consolidate pages/united-arab-emirates/ into pages/ae/
CHK_FS_01,Parallel Country Directory Overlap,CRITICAL,filesystem,anguilla,pages/anguilla/,pages/ai/,scripts/generate_world_local.py,Consolidate pages/anguilla/ into pages/ai/
CHK_FS_01,Parallel Country Directory Overlap,CRITICAL,filesystem,albania,pages/albania/,pages/al/,scripts/generate_world_local.py,Consolidate pages/albania/ into pages/al/
CHK_FS_01,Parallel Country Directory Overlap,CRITICAL,filesystem,argentina,pages/argentina/,pages/ar/,scripts/generate_world_local.py,Consolidate pages/argentina/ into pages/ar/
CHK_FS_01,Parallel Country Directory Overlap,CRITICAL,filesystem,american-samoa,pages/american-samoa/,pages/as/,scripts/generate_world_local.py,Consolidate pages/american-samoa/ into pages/as/
CHK_FS_01,Parallel Country Directory Overlap,CRITICAL,filesystem,austria,pages/austria/,pages/at/,scripts/generate_world_local.py,Consolidate pages/austria/ into pages/at/
CHK_FS_01,Parallel Country Directory Overlap,CRITICAL,filesystem,australia,pages/australia/,pages/au/,scripts/generate_world_local.py,Consolidate pages/australia/ into pages/au/
CHK_FS_01,Parallel Country Directory Overlap,CRITICAL,filesystem,aland-islands,pages/aland-islands/,pages/ax/,scripts/generate_world_local.py,Consolidate pages/aland-islands/ into pages/ax/
CHK_FS_01,Parallel Country Directory Overlap,CRITICAL,filesystem,azerbaijan,pages/azerbaijan/,pages/az/,scripts/generate_world_local.py,Consolidate pages/azerbaijan/ into pages/az/
CHK_FS_01,Parallel Country Directory Overlap,CRITICAL,filesystem,bangladesh,pages/bangladesh/,pages/bd/,scripts/generate_world_local.py,Consolidate pages/bangladesh/ into pages/bd/
CHK_FS_01,Parallel Country Directory Overlap,CRITICAL,filesystem,belgium,pages/belgium/,pages/be/,scripts/generate_world_local.py,Consolidate pages/belgium/ into pages/be/
CHK_FS_01,Parallel Country Directory Overlap,CRITICAL,filesystem,bulgaria,pages/bulgaria/,pages/bg/,scripts/generate_world_local.py,Consolidate pages/bulgaria/ into pages/bg/
CHK_FS_01,Parallel Country Directory Overlap,CRITICAL,filesystem,bermuda,pages/bermuda/,pages/bm/,scripts/generate_world_local.py,Consolidate pages/bermuda/ into pages/bm/
CHK_FS_01,Parallel Country Directory Overlap,CRITICAL,filesystem,brazil,pages/brazil/,pages/br/,scripts/generate_world_local.py,Consolidate pages/brazil/ into pages/br/
CHK_FS_01,Parallel Country Directory Overlap,CRITICAL,filesystem,belarus,pages/belarus/,pages/by/,scripts/generate_world_local.py,Consolidate pages/belarus/ into pages/by/
CHK_FS_01,Parallel Country Directory Overlap,CRITICAL,filesystem,canada,pages/canada/,pages/ca/,scripts/generate_world_local.py,Consolidate pages/canada/ into pages/ca/
CHK_FS_01,Parallel Country Directory Overlap,CRITICAL,filesystem,cocos-islands,pages/cocos-islands/,pages/cc/,scripts/generate_world_local.py,Consolidate pages/cocos-islands/ into pages/cc/
CHK_FS_01,Parallel Country Directory Overlap,CRITICAL,filesystem,switzerland,pages/switzerland/,pages/ch/,scripts/generate_world_local.py,Consolidate pages/switzerland/ into pages/ch/
CHK_FS_01,Parallel Country Directory Overlap,CRITICAL,filesystem,chile,pages/chile/,pages/cl/,scripts/generate_world_local.py,Consolidate pages/chile/ into pages/cl/
CHK_FS_01,Parallel Country Directory Overlap,CRITICAL,filesystem,china,pages/china/,pages/cn/,scripts/generate_world_local.py,Consolidate pages/china/ into pages/cn/
CHK_FS_01,Parallel Country Directory Overlap,CRITICAL,filesystem,colombia,pages/colombia/,pages/co/,scripts/generate_world_local.py,Consolidate pages/colombia/ into pages/co/
CHK_FS_01,Parallel Country Directory Overlap,CRITICAL,filesystem,costa-rica,pages/costa-rica/,pages/cr/,scripts/generate_world_local.py,Consolidate pages/costa-rica/ into pages/cr/
CHK_FS_01,Parallel Country Directory Overlap,CRITICAL,filesystem,christmas-island,pages/christmas-island/,pages/cx/,scripts/generate_world_local.py,Consolidate pages/christmas-island/ into pages/cx/
CHK_FS_01,Parallel Country Directory Overlap,CRITICAL,filesystem,cyprus,pages/cyprus/,pages/cy/,scripts/generate_world_local.py,Consolidate pages/cyprus/ into pages/cy/
CHK_FS_01,Parallel Country Directory Overlap,CRITICAL,filesystem,czech-republic,pages/czech-republic/,pages/cz/,scripts/generate_world_local.py,Consolidate pages/czech-republic/ into pages/cz/
CHK_FS_01,Parallel Country Directory Overlap,CRITICAL,filesystem,germany,pages/germany/,pages/de/,scripts/generate_world_local.py,Consolidate pages/germany/ into pages/de/
CHK_FS_01,Parallel Country Directory Overlap,CRITICAL,filesystem,denmark,pages/denmark/,pages/dk/,scripts/generate_world_local.py,Consolidate pages/denmark/ into pages/dk/
CHK_FS_01,Parallel Country Directory Overlap,CRITICAL,filesystem,dominican-republic,pages/dominican-republic/,pages/do/,scripts/generate_world_local.py,Consolidate pages/dominican-republic/ into pages/do/
CHK_FS_01,Parallel Country Directory Overlap,CRITICAL,filesystem,algeria,pages/algeria/,pages/dz/,scripts/generate_world_local.py,Consolidate pages/algeria/ into pages/dz/
CHK_FS_01,Parallel Country Directory Overlap,CRITICAL,filesystem,ecuador,pages/ecuador/,pages/ec/,scripts/generate_world_local.py,Consolidate pages/ecuador/ into pages/ec/
CHK_FS_01,Parallel Country Directory Overlap,CRITICAL,filesystem,estonia,pages/estonia/,pages/ee/,scripts/generate_world_local.py,Consolidate pages/estonia/ into pages/ee/
CHK_FS_01,Parallel Country Directory Overlap,CRITICAL,filesystem,spain,pages/spain/,pages/es/,scripts/generate_world_local.py,Consolidate pages/spain/ into pages/es/
CHK_FS_01,Parallel Country Directory Overlap,CRITICAL,filesystem,finland,pages/finland/,pages/fi/,scripts/generate_world_local.py,Consolidate pages/finland/ into pages/fi/
CHK_FS_01,Parallel Country Directory Overlap,CRITICAL,filesystem,falkland-islands,pages/falkland-islands/,pages/fk/,scripts/generate_world_local.py,Consolidate pages/falkland-islands/ into pages/fk/
CHK_FS_01,Parallel Country Directory Overlap,CRITICAL,filesystem,micronesia,pages/micronesia/,pages/fm/,scripts/generate_world_local.py,Consolidate pages/micronesia/ into pages/fm/
CHK_FS_01,Parallel Country Directory Overlap,CRITICAL,filesystem,faroe-islands,pages/faroe-islands/,pages/fo/,scripts/generate_world_local.py,Consolidate pages/faroe-islands/ into pages/fo/
CHK_FS_01,Parallel Country Directory Overlap,CRITICAL,filesystem,france,pages/france/,pages/fr/,scripts/generate_world_local.py,Consolidate pages/france/ into pages/fr/
CHK_FS_01,Parallel Country Directory Overlap,CRITICAL,filesystem,united-kingdom,pages/united-kingdom/,pages/gb/,scripts/generate_world_local.py,Consolidate pages/united-kingdom/ into pages/gb/
CHK_FS_01,Parallel Country Directory Overlap,CRITICAL,filesystem,french-guiana,pages/french-guiana/,pages/gf/,scripts/generate_world_local.py,Consolidate pages/french-guiana/ into pages/gf/
CHK_FS_01,Parallel Country Directory Overlap,CRITICAL,filesystem,guernsey,pages/guernsey/,pages/gg/,scripts/generate_world_local.py,Consolidate pages/guernsey/ into pages/gg/
CHK_FS_01,Parallel Country Directory Overlap,CRITICAL,filesystem,gibraltar,pages/gibraltar/,pages/gi/,scripts/generate_world_local.py,Consolidate pages/gibraltar/ into pages/gi/
CHK_FS_01,Parallel Country Directory Overlap,CRITICAL,filesystem,greenland,pages/greenland/,pages/gl/,scripts/generate_world_local.py,Consolidate pages/greenland/ into pages/gl/
CHK_FS_01,Parallel Country Directory Overlap,CRITICAL,filesystem,guadeloupe,pages/guadeloupe/,pages/gp/,scripts/generate_world_local.py,Consolidate pages/guadeloupe/ into pages/gp/
CHK_FS_01,Parallel Country Directory Overlap,CRITICAL,filesystem,south-georgia,pages/south-georgia/,pages/gs/,scripts/generate_world_local.py,Consolidate pages/south-georgia/ into pages/gs/
CHK_FS_01,Parallel Country Directory Overlap,CRITICAL,filesystem,guatemala,pages/guatemala/,pages/gt/,scripts/generate_world_local.py,Consolidate pages/guatemala/ into pages/gt/
CHK_FS_01,Parallel Country Directory Overlap,CRITICAL,filesystem,guam,pages/guam/,pages/gu/,scripts/generate_world_local.py,Consolidate pages/guam/ into pages/gu/
CHK_FS_01,Parallel Country Directory Overlap,CRITICAL,filesystem,hong-kong,pages/hong-kong/,pages/hk/,scripts/generate_world_local.py,Consolidate pages/hong-kong/ into pages/hk/
CHK_FS_01,Parallel Country Directory Overlap,CRITICAL,filesystem,heard-island,pages/heard-island/,pages/hm/,scripts/generate_world_local.py,Consolidate pages/heard-island/ into pages/hm/
CHK_FS_01,Parallel Country Directory Overlap,CRITICAL,filesystem,honduras,pages/honduras/,pages/hn/,scripts/generate_world_local.py,Consolidate pages/honduras/ into pages/hn/
CHK_FS_01,Parallel Country Directory Overlap,CRITICAL,filesystem,croatia,pages/croatia/,pages/hr/,scripts/generate_world_local.py,Consolidate pages/croatia/ into pages/hr/
CHK_FS_01,Parallel Country Directory Overlap,CRITICAL,filesystem,haiti,pages/haiti/,pages/ht/,scripts/generate_world_local.py,Consolidate pages/haiti/ into pages/ht/
CHK_FS_01,Parallel Country Directory Overlap,CRITICAL,filesystem,hungary,pages/hungary/,pages/hu/,scripts/generate_world_local.py,Consolidate pages/hungary/ into pages/hu/
CHK_FS_01,Parallel Country Directory Overlap,CRITICAL,filesystem,indonesia,pages/indonesia/,pages/id/,scripts/generate_world_local.py,Consolidate pages/indonesia/ into pages/id/
CHK_FS_01,Parallel Country Directory Overlap,CRITICAL,filesystem,ireland,pages/ireland/,pages/ie/,scripts/generate_world_local.py,Consolidate pages/ireland/ into pages/ie/
CHK_FS_01,Parallel Country Directory Overlap,CRITICAL,filesystem,isle-of-man,pages/isle-of-man/,pages/im/,scripts/generate_world_local.py,Consolidate pages/isle-of-man/ into pages/im/
CHK_FS_01,Parallel Country Directory Overlap,CRITICAL,filesystem,british-indian-ocean,pages/british-indian-ocean/,pages/io/,scripts/generate_world_local.py,Consolidate pages/british-indian-ocean/ into pages/io/
CHK_FS_01,Parallel Country Directory Overlap,CRITICAL,filesystem,iceland,pages/iceland/,pages/is/,scripts/generate_world_local.py,Consolidate pages/iceland/ into pages/is/
CHK_FS_01,Parallel Country Directory Overlap,CRITICAL,filesystem,italy,pages/italy/,pages/it/,scripts/generate_world_local.py,Consolidate pages/italy/ into pages/it/
CHK_FS_01,Parallel Country Directory Overlap,CRITICAL,filesystem,jersey,pages/jersey/,pages/je/,scripts/generate_world_local.py,Consolidate pages/jersey/ into pages/je/
CHK_FS_01,Parallel Country Directory Overlap,CRITICAL,filesystem,japan,pages/japan/,pages/jp/,scripts/generate_world_local.py,Consolidate pages/japan/ into pages/jp/
CHK_FS_01,Parallel Country Directory Overlap,CRITICAL,filesystem,kenya,pages/kenya/,pages/ke/,scripts/generate_world_local.py,Consolidate pages/kenya/ into pages/ke/
CHK_FS_01,Parallel Country Directory Overlap,CRITICAL,filesystem,south-korea,pages/south-korea/,pages/kr/,scripts/generate_world_local.py,Consolidate pages/south-korea/ into pages/kr/
